text,career
I love coding and solving problems,Software Developer
I enjoy working with numbers and analyzing data,Data Analyst
I like drawing and painting and being creative,Graphic Designer
Helping sick people and learning about medicine,Doctor
I am passionate about teaching and mentoring,Teacher
I'm interested in human behavior and emotions,Psychologist
I love writing stories and blogs,Content Writer
Working with machines and physical tools,Mechanical Engineer
Creating business strategies and leading teams,Manager
Designing buildings and understanding spaces,Architect
